id_student,region,code_module,code_presentation,age_band,final_result,score,sum_click,module
29144,South Region,BBB,2013B,0-35,Fail,53.02,1914,BBB-2013B
29335,West Midlands Region,FFF,2013J,0-35,Distinction,95.0,8840,FFF-2013J
29411,East Midlands Region,CCC,2014J,0-35,Withdrawn,1.26,329,CCC-2014J
29411,East Midlands Region,DDD,2013J,0-35,Pass,137.65,841,DDD-2013J
29420,Wales,CCC,2014J,0-35,Pass,126.31,816,CCC-2014J
29639,North Region,CCC,2014J,0-35,Pass,162.57,6986,CCC-2014J
29639,North Region,EEE,2014B,0-35,Pass,83.48,3517,EEE-2014B
29764,East Anglian Region,CCC,2014B,0-35,Distinction,183.65,2867,CCC-2014B
29769,East Midlands Region,FFF,2013J,0-35,Fail,49.75,1608,FFF-2013J
29820,East Anglian Region,CCC,2014B,0-35,Pass,160.58,1027,CCC-2014B
29820,East Anglian Region,EEE,2014B,0-35,Pass,79.4,1475,EEE-2014B
29985,South Region,GGG,2014B,0-35,Pass,0.0,760,GGG-2014B
30091,South West Region,BBB,2013J,0-35,Pass,63.0,1332,BBB-2013J
30096,East Anglian Region,CCC,2014J,0-35,Distinction,186.04,714,CCC-2014J
30531,East Anglian Region,FFF,2014B,0-35,Fail,21.75,1548,FFF-2014B
30549,South East Region,DDD,2013J,35-55,Fail,3.5,137,DDD-2013J
30850,Scotland,CCC,2014J,35-55,Distinction,199.24,2258,CCC-2014J
31014,West Midlands Region,BBB,2013J,35-55,Withdrawn,35.95,531,BBB-2013J
31107,South West Region,GGG,2014B,35-55,Pass,0.0,3873,GGG-2014B
31161,South Region,CCC,2014J,55<=,Distinction,197.08,2932,CCC-2014J
31173,North Western Region,DDD,2013J,35-55,Fail,77.12,858,DDD-2013J
31205,East Midlands Region,GGG,2014J,35-55,Fail,0.0,381,GGG-2014J
31269,East Midlands Region,DDD,2014B,35-55,Withdrawn,12.88,559,DDD-2014B
31296,East Midlands Region,FFF,2014J,0-35,Fail,52.25,1280,FFF-2014J
31600,South West Region,AAA,2014J,0-35,Pass,55.5,429,AAA-2014J
31604,South East Region,AAA,2013J,35-55,Pass,76.3,2158,AAA-2013J
31663,North Region,BBB,2013B,35-55,Pass,63.92,5906,BBB-2013B
31849,South West Region,BBB,2013J,35-55,Pass,69.11,1179,BBB-2013J
32221,South Region,FFF,2013J,0-35,Fail,67.0,1133,FFF-2013J
32239,London Region,GGG,2013J,0-35,Pass,0.0,620,GGG-2013J
32327,South West Region,BBB,2014J,0-35,Withdrawn,6.1,699,BBB-2014J
32885,West Midlands Region,AAA,2013J,0-35,Pass,55.0,1034,AAA-2013J
32930,South Region,BBB,2014J,35-55,Pass,55.3,438,BBB-2014J
33387,Scotland,DDD,2013J,0-35,Withdrawn,23.35,248,DDD-2013J
33600,London Region,FFF,2013J,35-55,Withdrawn,10.5,481,FFF-2013J
33666,London Region,BBB,2013B,0-35,Withdrawn,17.94,1208,BBB-2013B
33681,South East Region,DDD,2013J,35-55,Withdrawn,29.55,434,DDD-2013J
33681,South East Region,DDD,2014J,35-55,Fail,35.05,30,DDD-2014J
33796,East Anglian Region,DDD,2014J,35-55,Pass,109.55,351,DDD-2014J
33897,West Midlands Region,DDD,2013J,0-35,Withdrawn,5.0,322,DDD-2013J
33915,South East Region,FFF,2013B,0-35,Distinction,95.75,4121,FFF-2013B
33930,South West Region,DDD,2013J,0-35,Pass,134.97,544,DDD-2013J
34068,Scotland,CCC,2014J,0-35,Withdrawn,13.22,613,CCC-2014J
34087,South East Region,DDD,2013J,35-55,Withdrawn,33.7,294,DDD-2013J
34087,South East Region,DDD,2014J,35-55,Fail,41.75,131,DDD-2014J
34229,Ireland,BBB,2013B,35-55,Pass,65.07,706,BBB-2013B
34293,West Midlands Region,FFF,2014B,0-35,Withdrawn,18.5,921,FFF-2014B
34353,Scotland,BBB,2013B,35-55,Fail,65.73,391,BBB-2013B
34431,Yorkshire Region,BBB,2013B,0-35,Withdrawn,0.8,192,BBB-2013B
34653,East Midlands Region,DDD,2013J,0-35,Fail,24.1,213,DDD-2013J
34662,South West Region,BBB,2014J,35-55,Withdrawn,6.8,218,BBB-2014J
34731,East Anglian Region,FFF,2013J,0-35,Withdrawn,18.5,681,FFF-2013J
34756,East Midlands Region,BBB,2013B,0-35,Withdrawn,13.53,129,BBB-2013B
34863,London Region,BBB,2013B,0-35,Pass,63.22,198,BBB-2013B
35001,East Midlands Region,GGG,2013J,35-55,Fail,0.0,77,GGG-2013J
35340,South Region,EEE,2014B,0-35,Pass,78.16,1812,EEE-2014B
35355,Wales,CCC,2014J,35-55,Withdrawn,30.73,1116,CCC-2014J
35355,Wales,EEE,2013J,35-55,Pass,83.2,2242,EEE-2013J
35502,West Midlands Region,DDD,2014B,0-35,Withdrawn,6.6,545,DDD-2014B
35508,South West Region,CCC,2014J,0-35,Pass,102.06,1142,CCC-2014J
35508,South West Region,EEE,2014B,0-35,Distinction,92.84,2270,EEE-2014B
35544,Wales,FFF,2013B,35-55,Pass,82.75,2107,FFF-2013B
35747,North Western Region,FFF,2014J,35-55,Withdrawn,6.75,653,FFF-2014J
35796,Wales,FFF,2014J,0-35,Fail,10.25,602,FFF-2014J
35812,East Anglian Region,BBB,2013B,0-35,Fail,3.55,19,BBB-2013B
35860,South West Region,FFF,2013B,0-35,Pass,39.25,2215,FFF-2013B
36347,North Western Region,FFF,2014B,0-35,Pass,54.0,2161,FFF-2014B
36385,West Midlands Region,FFF,2013B,0-35,Withdrawn,18.75,1355,FFF-2013B
37298,Ireland,FFF,2013B,0-35,Pass,65.5,2097,FFF-2013B
37622,Scotland,BBB,2013J,0-35,Pass,70.32,470,BBB-2013J
37652,London Region,CCC,2014J,35-55,Distinction,124.2,885,CCC-2014J
38053,Wales,AAA,2013J,35-55,Pass,66.9,2445,AAA-2013J
38234,East Midlands Region,BBB,2013J,0-35,Fail,44.62,94,BBB-2013J
38711,West Midlands Region,BBB,2014J,35-55,Withdrawn,32.6,169,BBB-2014J
39208,Wales,BBB,2014J,35-55,Pass,71.6,2067,BBB-2014J
39411,West Midlands Region,DDD,2013J,0-35,Fail,7.0,164,DDD-2013J
39427,South Region,DDD,2013J,0-35,Withdrawn,8.4,93,DDD-2013J
39655,Scotland,BBB,2013B,0-35,Distinction,82.98,432,BBB-2013B
39660,North Western Region,DDD,2014B,0-35,Fail,34.8,630,DDD-2014B
39882,Scotland,FFF,2014B,0-35,Pass,54.75,1761,FFF-2014B
40184,Wales,DDD,2013J,55<=,Distinction,193.0,1876,DDD-2013J
40419,East Midlands Region,DDD,2013B,35-55,Withdrawn,7.04,144,DDD-2013B
40419,East Midlands Region,DDD,2013J,35-55,Pass,139.72,560,DDD-2013J
40563,South East Region,DDD,2013J,0-35,Pass,120.67,584,DDD-2013J
40604,Ireland,CCC,2014B,35-55,Pass,117.44,465,CCC-2014B
40857,North Western Region,FFF,2014J,0-35,Withdrawn,10.75,304,FFF-2014J
40878,North Western Region,FFF,2014J,0-35,Distinction,88.0,2455,FFF-2014J
41060,Ireland,DDD,2013B,0-35,Fail,63.59,411,DDD-2013B
41414,West Midlands Region,GGG,2014B,0-35,Pass,0.0,965,GGG-2014B
41547,Yorkshire Region,BBB,2014J,0-35,Pass,43.35,1007,BBB-2014J
42552,East Anglian Region,FFF,2014J,0-35,Pass,71.75,5079,FFF-2014J
42616,Scotland,FFF,2013J,35-55,Pass,73.75,4093,FFF-2013J
42638,Scotland,CCC,2014B,35-55,Pass,125.13,5659,CCC-2014B
42638,Scotland,EEE,2013J,35-55,Pass,80.48,6186,EEE-2013J
42668,London Region,FFF,2013B,35-55,Pass,78.75,2839,FFF-2013B
42746,South Region,CCC,2014J,35-55,Distinction,195.78,2403,CCC-2014J
42746,South Region,FFF,2014B,35-55,Distinction,92.5,8270,FFF-2014B
42818,East Anglian Region,DDD,2013J,0-35,Fail,3.9,200,DDD-2013J
43273,East Midlands Region,FFF,2013B,35-55,Pass,70.75,1862,FFF-2013B
43284,East Midlands Region,DDD,2013B,0-35,Withdrawn,40.2,847,DDD-2013B
43430,South West Region,FFF,2013B,35-55,Pass,94.75,5693,FFF-2013B
43564,Scotland,EEE,2013J,35-55,Pass,92.6,2334,EEE-2013J
43958,Wales,FFF,2013J,35-55,Withdrawn,23.0,2220,FFF-2013J
43958,Wales,FFF,2014J,35-55,Fail,44.5,1098,FFF-2014J
45423,South West Region,FFF,2014J,35-55,Fail,52.75,4383,FFF-2014J
45462,Scotland,AAA,2013J,0-35,Pass,67.8,1492,AAA-2013J
45642,North Western Region,AAA,2013J,0-35,Pass,72.5,1428,AAA-2013J
45664,Yorkshire Region,CCC,2014B,0-35,Withdrawn,7.69,397,CCC-2014B
45664,Yorkshire Region,DDD,2013B,0-35,Pass,95.28,1048,DDD-2013B
46016,North Western Region,DDD,2014J,0-35,Withdrawn,16.25,389,DDD-2014J
46148,North Western Region,FFF,2014B,35-55,Pass,85.25,3724,FFF-2014B
46605,East Anglian Region,CCC,2014B,35-55,Distinction,191.22,3427,CCC-2014B
46705,Ireland,CCC,2014J,35-55,Fail,59.81,1149,CCC-2014J
46753,East Anglian Region,DDD,2014B,35-55,Pass,83.88,1779,DDD-2014B
46812,North Region,DDD,2014J,0-35,Withdrawn,2.75,141,DDD-2014J
46844,North Region,AAA,2014J,35-55,Pass,66.5,340,AAA-2014J
47061,East Midlands Region,EEE,2014J,0-35,Pass,70.2,347,EEE-2014J
47063,London Region,DDD,2013J,35-55,Withdrawn,30.07,137,DDD-2013J
47855,Scotland,BBB,2013J,35-55,Withdrawn,44.77,12,BBB-2013J
47861,South East Region,FFF,2014J,0-35,Pass,49.75,8757,FFF-2014J
47891,Wales,BBB,2014J,0-35,Fail,13.7,118,BBB-2014J
47924,West Midlands Region,FFF,2013J,35-55,Fail,10.25,34,FFF-2013J
48040,East Midlands Region,BBB,2013J,35-55,Pass,63.6,1829,BBB-2013J
48152,East Anglian Region,DDD,2013J,0-35,Pass,88.38,528,DDD-2013J
48503,West Midlands Region,BBB,2013J,0-35,Pass,60.36,434,BBB-2013J
48635,South Region,CCC,2014J,0-35,Withdrawn,1.56,592,CCC-2014J
48635,South Region,FFF,2014B,0-35,Pass,83.25,4406,FFF-2014B
49119,Ireland,CCC,2014B,0-35,Distinction,191.41,2014,CCC-2014B
49119,Ireland,DDD,2014B,0-35,Withdrawn,16.02,254,DDD-2014B
49123,Yorkshire Region,GGG,2014B,0-35,Pass,0.0,1362,GGG-2014B
50069,Scotland,BBB,2014B,0-35,Fail,33.88,531,BBB-2014B
50263,West Midlands Region,CCC,2014B,35-55,Withdrawn,6.34,425,CCC-2014B
50263,West Midlands Region,FFF,2013B,35-55,Pass,83.0,5863,FFF-2013B
50476,South West Region,DDD,2014B,0-35,Distinction,156.68,568,DDD-2014B
50487,East Anglian Region,FFF,2013J,0-35,Pass,83.0,5021,FFF-2013J
50610,East Anglian Region,DDD,2013J,0-35,Fail,34.7,13,DDD-2013J
50993,Scotland,BBB,2013B,0-35,Fail,22.75,176,BBB-2013B
51030,West Midlands Region,DDD,2014B,0-35,Pass,137.93,804,DDD-2014B
51033,South Region,DDD,2014J,0-35,Pass,140.55,913,DDD-2014J
51153,East Midlands Region,DDD,2014J,35-55,Pass,112.5,1179,DDD-2014J
51163,London Region,DDD,2013J,35-55,Pass,151.07,1167,DDD-2013J
51301,Wales,BBB,2013J,0-35,Withdrawn,4.65,670,BBB-2013J
51485,West Midlands Region,FFF,2013J,0-35,Distinction,93.0,2750,FFF-2013J
51576,London Region,CCC,2014B,0-35,Withdrawn,9.28,371,CCC-2014B
51576,London Region,CCC,2014J,0-35,Withdrawn,10.42,428,CCC-2014J
51576,London Region,FFF,2013J,0-35,Distinction,84.0,5302,FFF-2013J
51955,Scotland,DDD,2014J,0-35,Fail,78.5,405,DDD-2014J
52014,Wales,DDD,2013B,35-55,Fail,44.24,349,DDD-2013B
52130,East Anglian Region,AAA,2013J,0-35,Pass,71.2,1894,AAA-2013J
52275,London Region,FFF,2014J,0-35,Fail,4.75,91,FFF-2014J
52426,Scotland,BBB,2014B,35-55,Fail,25.72,68,BBB-2014B
52702,Scotland,GGG,2014J,35-55,Pass,0.0,323,GGG-2014J
52765,Yorkshire Region,AAA,2014J,35-55,Pass,61.5,4938,AAA-2014J
52797,South West Region,BBB,2013J,35-55,Pass,80.43,1117,BBB-2013J
52899,East Midlands Region,BBB,2013B,35-55,Withdrawn,4.4,928,BBB-2013B
52899,East Midlands Region,BBB,2013J,35-55,Pass,42.39,1540,BBB-2013J
53025,North Region,AAA,2013J,55<=,Pass,79.0,3158,AAA-2013J
53136,London Region,FFF,2014B,0-35,Pass,71.0,3493,FFF-2014B
53166,North Region,FFF,2013J,0-35,Pass,65.75,2861,FFF-2013J
53197,North Western Region,FFF,2013B,0-35,Fail,0.0,60,FFF-2013B
53300,West Midlands Region,CCC,2014J,0-35,Distinction,189.94,1957,CCC-2014J
53488,East Anglian Region,DDD,2013B,0-35,Pass,147.69,1426,DDD-2013B
53632,Wales,DDD,2014B,0-35,Withdrawn,51.52,510,DDD-2014B
53632,Wales,DDD,2014J,0-35,Fail,65.45,73,DDD-2014J
53709,Wales,FFF,2013B,0-35,Withdrawn,57.25,1735,FFF-2013B
53709,Wales,FFF,2014B,0-35,Pass,76.25,1175,FFF-2014B
54062,East Anglian Region,CCC,2014J,0-35,Withdrawn,9.62,147,CCC-2014J
54062,East Anglian Region,EEE,2013J,0-35,Distinction,90.32,1477,EEE-2013J
54391,South West Region,CCC,2014B,0-35,Withdrawn,3.73,179,CCC-2014B
54810,South Region,DDD,2014B,0-35,Withdrawn,19.25,260,DDD-2014B
54810,South Region,DDD,2014J,0-35,Pass,115.9,441,DDD-2014J
54867,South West Region,FFF,2014B,0-35,Fail,9.25,604,FFF-2014B
54882,Scotland,FFF,2013J,0-35,Fail,39.25,498,FFF-2013J
55013,North Region,FFF,2013J,0-35,Fail,37.25,604,FFF-2013J
55026,London Region,BBB,2013J,35-55,Pass,51.53,283,BBB-2013J
55104,West Midlands Region,AAA,2014J,0-35,Pass,71.3,1480,AAA-2014J
55419,South Region,FFF,2013J,0-35,Withdrawn,8.75,275,FFF-2013J
55450,South East Region,FFF,2013B,35-55,Fail,55.25,1195,FFF-2013B
55968,Wales,BBB,2014B,0-35,Fail,23.86,578,BBB-2014B
56637,East Midlands Region,FFF,2014J,0-35,Distinction,91.75,5440,FFF-2014J
56667,Yorkshire Region,FFF,2014J,35-55,Fail,49.0,853,FFF-2014J
56789,South East Region,BBB,2013J,35-55,Pass,68.93,379,BBB-2013J
57079,London Region,BBB,2013J,35-55,Fail,52.9,776,BBB-2013J
57227,North Western Region,DDD,2013J,0-35,Pass,131.25,1425,DDD-2013J
57285,London Region,BBB,2014J,0-35,Pass,66.2,283,BBB-2014J
57340,East Anglian Region,CCC,2014B,0-35,Pass,86.23,1090,CCC-2014B
57506,South Region,AAA,2013J,35-55,Pass,74.0,1319,AAA-2013J
57818,Wales,DDD,2013J,35-55,Pass,173.55,3037,DDD-2013J
57844,South West Region,FFF,2013J,0-35,Pass,78.25,1972,FFF-2013J
58071,East Anglian Region,AAA,2014J,55<=,Pass,74.9,3648,AAA-2014J
58089,West Midlands Region,BBB,2013B,0-35,Fail,4.75,102,BBB-2013B
58316,Wales,AAA,2014J,0-35,Pass,72.9,1295,AAA-2014J
58549,North Region,FFF,2013B,0-35,Distinction,93.25,2481,FFF-2013B
58617,East Midlands Region,DDD,2014B,0-35,Fail,38.02,834,DDD-2014B
58640,Scotland,FFF,2013J,0-35,Pass,61.75,1784,FFF-2013J
58653,North Western Region,BBB,2014J,35-55,Pass,68.1,383,BBB-2014J
58731,South West Region,DDD,2014J,0-35,Pass,100.25,177,DDD-2014J
58873,East Anglian Region,AAA,2013J,0-35,Pass,73.7,1732,AAA-2013J
58884,South Region,FFF,2014J,35-55,Distinction,90.75,5248,FFF-2014J
59185,East Anglian Region,AAA,2013J,35-55,Pass,80.8,1102,AAA-2013J
59272,South East Region,BBB,2014J,0-35,Pass,66.85,1425,BBB-2014J
59275,Scotland,DDD,2013J,0-35,Fail,30.35,522,DDD-2013J
59370,Ireland,DDD,2013J,35-55,Pass,122.35,2057,DDD-2013J
59541,East Anglian Region,CCC,2014B,0-35,Withdrawn,0.8,441,CCC-2014B
59725,Wales,BBB,2014B,35-55,Distinction,84.31,859,BBB-2014B
60135,West Midlands Region,DDD,2013B,0-35,Pass,83.25,2750,DDD-2013B
60162,London Region,GGG,2014J,35-55,Pass,0.0,764,GGG-2014J
60405,Yorkshire Region,GGG,2013J,35-55,Distinction,0.0,852,GGG-2013J
60416,East Anglian Region,BBB,2014B,0-35,Pass,73.2,4983,BBB-2014B
60519,London Region,FFF,2013B,35-55,Withdrawn,17.5,3198,FFF-2013B
60809,South East Region,CCC,2014J,0-35,Pass,136.33,2519,CCC-2014J
60809,South East Region,EEE,2014J,0-35,Pass,86.8,2422,EEE-2014J
60830,South Region,BBB,2014B,0-35,Pass,60.09,1365,BBB-2014B
61227,East Anglian Region,CCC,2014J,0-35,Pass,16.44,4642,CCC-2014J
61236,South West Region,CCC,2014J,35-55,Withdrawn,1.12,506,CCC-2014J
61352,Yorkshire Region,BBB,2014J,0-35,Withdrawn,0.0,181,BBB-2014J
61911,Wales,DDD,2014B,0-35,Fail,39.67,448,DDD-2014B
62034,West Midlands Region,EEE,2014J,0-35,Pass,55.72,1889,EEE-2014J
62155,North Western Region,AAA,2013J,0-35,Pass,76.4,3388,AAA-2013J
62278,West Midlands Region,CCC,2014B,0-35,Fail,45.23,1037,CCC-2014B
62487,East Midlands Region,AAA,2014J,0-35,Pass,70.6,683,AAA-2014J
62631,North Western Region,BBB,2013B,0-35,Fail,43.99,525,BBB-2013B
62975,South Region,GGG,2013J,35-55,Fail,0.0,274,GGG-2013J
63015,East Anglian Region,DDD,2014J,35-55,Fail,122.5,694,DDD-2014J
63044,London Region,BBB,2013J,0-35,Fail,25.35,231,BBB-2013J
63112,South East Region,EEE,2013J,35-55,Pass,86.88,3018,EEE-2013J
63112,South East Region,FFF,2014J,35-55,Withdrawn,23.75,501,FFF-2014J
63165,South East Region,AAA,2014J,35-55,Pass,52.1,912,AAA-2014J
63295,South Region,FFF,2013J,35-55,Pass,47.75,1210,FFF-2013J
63371,Ireland,CCC,2014J,0-35,Pass,130.01,3344,CCC-2014J
63400,Scotland,AAA,2013J,35-55,Pass,71.2,2737,AAA-2013J
63467,North Western Region,BBB,2014J,35-55,Pass,77.1,712,BBB-2014J
63566,South East Region,DDD,2013J,55<=,Fail,101.83,1232,DDD-2013J
63721,South East Region,BBB,2014B,0-35,Distinction,68.62,771,BBB-2014B
63827,South West Region,DDD,2014J,0-35,Withdrawn,19.25,108,DDD-2014J
63856,Scotland,DDD,2013J,35-55,Pass,79.92,965,DDD-2013J
63949,Ireland,GGG,2014J,0-35,Pass,0.0,432,GGG-2014J
64275,West Midlands Region,BBB,2014B,0-35,Pass,67.63,199,BBB-2014B
64296,Scotland,CCC,2014B,0-35,Fail,9.48,633,CCC-2014B
64296,Scotland,EEE,2014B,0-35,Fail,42.44,606,EEE-2014B
64388,East Midlands Region,FFF,2013J,0-35,Fail,43.75,4596,FFF-2013J
64427,London Region,FFF,2014J,0-35,Distinction,84.5,5640,FFF-2014J
64450,West Midlands Region,DDD,2014B,0-35,Pass,95.28,3327,DDD-2014B
64767,East Anglian Region,DDD,2014B,35-55,Withdrawn,41.58,206,DDD-2014B
64901,London Region,GGG,2014B,35-55,Pass,0.0,827,GGG-2014B
65002,East Anglian Region,AAA,2013J,0-35,Withdrawn,20.2,171,AAA-2013J
65002,East Anglian Region,AAA,2014J,0-35,Fail,20.2,5,AAA-2014J
65656,West Midlands Region,FFF,2013B,35-55,Pass,63.75,1776,FFF-2013B
66047,North Western Region,DDD,2013J,0-35,Withdrawn,4.3,52,DDD-2013J
66254,Ireland,CCC,2014B,0-35,Fail,50.41,2149,CCC-2014B
66451,Scotland,FFF,2013J,0-35,Pass,77.5,1161,FFF-2013J
66577,North Western Region,DDD,2013J,0-35,Fail,33.25,143,DDD-2013J
66579,South Region,DDD,2013B,35-55,Fail,20.83,681,DDD-2013B
66713,South Region,EEE,2013J,0-35,Pass,75.24,1850,EEE-2013J
66892,London Region,FFF,2014J,0-35,Withdrawn,8.25,329,FFF-2014J
67182,South Region,GGG,2013J,35-55,Pass,0.0,354,GGG-2013J
67471,London Region,DDD,2013J,0-35,Pass,118.15,1113,DDD-2013J
67505,North Region,DDD,2013J,35-55,Fail,39.52,1246,DDD-2013J
67539,Ireland,EEE,2014J,0-35,Pass,64.92,1438,EEE-2014J
67602,Ireland,DDD,2013B,0-35,Pass,93.42,797,DDD-2013B
67685,South Region,EEE,2014J,0-35,Pass,81.72,2304,EEE-2014J
67781,South Region,DDD,2014B,0-35,Distinction,158.85,1771,DDD-2014B
67785,London Region,DDD,2013B,0-35,Pass,95.48,1351,DDD-2013B
67986,Scotland,FFF,2014B,0-35,Withdrawn,9.0,660,FFF-2014B
68011,London Region,DDD,2013J,0-35,Withdrawn,18.35,360,DDD-2013J
68107,London Region,FFF,2013J,0-35,Pass,90.5,4255,FFF-2013J
68208,Scotland,FFF,2013B,35-55,Fail,55.25,7467,FFF-2013B
68376,Yorkshire Region,DDD,2013J,0-35,Pass,121.45,1085,DDD-2013J
68417,Scotland,DDD,2014J,0-35,Pass,134.05,1270,DDD-2014J
68556,South East Region,BBB,2013J,0-35,Fail,27.89,98,BBB-2013J
69346,London Region,FFF,2013J,0-35,Withdrawn,9.5,1458,FFF-2013J
69439,East Midlands Region,FFF,2014J,0-35,Withdrawn,16.0,293,FFF-2014J
69491,East Anglian Region,DDD,2013B,0-35,Pass,112.75,373,DDD-2013B
69494,Yorkshire Region,CCC,2014B,0-35,Withdrawn,0.0,601,CCC-2014B
69494,Yorkshire Region,CCC,2014J,0-35,Withdrawn,5.58,1448,CCC-2014J
69703,Yorkshire Region,CCC,2014B,0-35,Pass,154.99,695,CCC-2014B
70011,Scotland,AAA,2014J,0-35,Pass,81.3,6396,AAA-2014J
70214,Wales,CCC,2014J,0-35,Withdrawn,0.66,369,CCC-2014J
70214,Wales,EEE,2013J,0-35,Pass,46.8,3140,EEE-2013J
70381,Scotland,CCC,2014B,35-55,Pass,164.26,755,CCC-2014B
70464,West Midlands Region,AAA,2013J,35-55,Pass,53.5,1053,AAA-2013J
70495,Scotland,CCC,2014J,0-35,Pass,175.97,1979,CCC-2014J
70495,Scotland,FFF,2013J,0-35,Distinction,87.75,5273,FFF-2013J
70537,London Region,EEE,2014B,35-55,Pass,80.72,2434,EEE-2014B
70569,Wales,BBB,2014J,0-35,Pass,68.9,947,BBB-2014J
70608,South East Region,BBB,2013B,35-55,Distinction,77.95,270,BBB-2013B
70771,Scotland,CCC,2014B,0-35,Withdrawn,1.0,181,CCC-2014B
70827,East Midlands Region,EEE,2014J,0-35,Withdrawn,9.92,269,EEE-2014J
71159,North Region,FFF,2014J,35-55,Pass,57.0,5236,FFF-2014J
71209,South East Region,DDD,2013J,35-55,Pass,100.1,483,DDD-2013J
71252,North Western Region,FFF,2013J,0-35,Pass,77.25,1194,FFF-2013J
71361,Ireland,AAA,2013J,35-55,Pass,79.7,2327,AAA-2013J
71504,East Anglian Region,BBB,2014J,35-55,Pass,76.9,1049,BBB-2014J
71578,South Region,FFF,2013B,0-35,Pass,58.5,1572,FFF-2013B
71676,East Midlands Region,DDD,2014J,0-35,Pass,106.75,1077,DDD-2014J
71723,North Western Region,CCC,2014J,0-35,Fail,33.09,486,CCC-2014J
71723,North Western Region,DDD,2014B,0-35,Fail,17.6,251,DDD-2014B
72114,North Region,FFF,2014B,0-35,Pass,85.0,4300,FFF-2014B
72400,East Anglian Region,BBB,2014B,0-35,Distinction,76.59,420,BBB-2014B
72609,Wales,CCC,2014J,35-55,Fail,75.37,6378,CCC-2014J
72693,Yorkshire Region,FFF,2013B,0-35,Pass,74.25,2269,FFF-2013B
72864,Yorkshire Region,FFF,2013J,35-55,Pass,50.75,1423,FFF-2013J
73019,Scotland,DDD,2014J,0-35,Fail,79.05,540,DDD-2014J
73489,South Region,BBB,2013J,0-35,Pass,70.91,1845,BBB-2013J
73584,South West Region,BBB,2014J,0-35,Withdrawn,5.5,243,BBB-2014J
73664,North Western Region,DDD,2014J,0-35,Fail,4.5,103,DDD-2014J
73874,Wales,BBB,2014J,35-55,Withdrawn,22.1,931,BBB-2014J
74113,Yorkshire Region,FFF,2013B,0-35,Fail,37.25,583,FFF-2013B
